Input,Real_Phonemes,Reference,Prediction,WER,PER
W IY | S IY M | T UW | AH G R IH NG | AA N | DH AE T |,W IY | S IY M | T UW | AH G R IY | AA N | DH AE T |,We seem to agree on that.,We seem to agree on that.,0,0.09090909091
DH AH | P R AO T AH T IH V AH T IY | AH N D | DH AH | T R AE N IH NG | K AA R S |,DH AH | P R OW D AH K T IH V AH T IY | AH N D | DH AH | T R EY N IH NG | K AA S T S |,The productivity and the training costs.,The profitability and the training course.,0.3333333333,0.1666666667
W AH T | K AY N D | AH V | P AH P IY | Y UW | G AY T |,W AH T | K AY N D | AH V | P AH P IY | Y UW | G AA T |,What kind of puppy you got?,What kind of puppy you get.,0.1666666667,0.04166666667
D UW | Y UW | F AY N D | S ER S EH F | F AH N IY |,D UW | Y UW | F AY N D | Y ER S EH L F | F AH N IY |,Do you find yourself funny?,Do you find yourself funny?,0,0.08695652174
D UW | Y UW | HH AE V | EH N IY | P IH T S | N AW |,D UW | Y UW | HH AE V | EH N IY | P EH T S | N AW |,Do you have any pets now?,Do you have any pets now?,0,0.04545454545
S OW | IH T S | B IH N | R IY L | F AH N | HH IY R | T UW | S IY |,S OW | IH T S | B IH N | R IY L | F AH N | HH IY R | T UW | S IY |,So it's been real fun here to see.,So it's been real fun here to see.,0,0
W AH T | IH Z | DH AH | P OY N T | AH V | AO L | DH IH S |,W AH T | IH Z | DH AH | P OY N T | AH V | AO L | DH IH S |,What is the point of all this?,What is the point of all this?,0,0
IH T S | N AA T | L AY K | HH IY | HH AE D | AH | CH OY Z |,IH T S | N AA T | L AY K | HH IY | HH AE D | AH | CH OY S |,It's not like he had a choice.,It's not like he had a choice.,0,0.04
B AA K S | AH G EH N S Z | AY T AH L | AE K Y UW AH N | K R AH P | S T IH K |,P AA P S | AH G EH N S T | AY D AH L | AE K Y ER AH T | K R AA P | S T EY K |,pops against idol accurate crop steak,"Box again, little acquisition, crap stick.",1,0.2352941176
AH N D | DH AE T S | K AY N D | AH V | DH AH | W EY | AY | W AA Z | R EY Z T |,AH N D | DH AE T S | K AY N D | AH V | DH AH | W EY | AY | W AA Z | R EY Z D |,And that's kind of the way I was raised.,And that's kind of the way I was raised.,0,0.02941176471
N OW | AH N D | P HH OW L D | DH EY | D IH D | N AA T |,L OW | AH N D | B IH HH OW L D | DH EY | D IH D | N AA T |,"Lo and behold, they did not.",No and they did not.,0.3333333333,0.12
DH AH | D UW | S IY N S | AH | W AH T | AA R | HH AA P IY |,DH AH | T UW | S IY T S | AH P | F R AH N T | AA R | EH M P T IY |,The two seats up front are empty.,The do seem a what are happy.,0.7142857143,0.3103448276
HH IY | W AA Z | DH AE T | EH K S EH SH AH N AH L |,HH IY | W AA Z | DH AE T | IH K S EH P SH AH N AH L |,He was that exceptional.,He was that exceptional.,0,0.09090909091
Y UW D | TH IH NG K | DH AE T | IH T | W AA Z | AH | G R AY V AH S T | S K UW L |,Y UW D | TH IH NG K | DH AE T | IH T | W AA Z | AH | P R AY V AH T | S K UW L |,You'd think that it was a private school.,You'd think that it was a private school.,0,0.05882352941
IH T S | JH AH S T | P AE K AH T | CH EY N JH | T UW | AH | AH | L AY T | AH V | P IY P AH L |,IH T S | JH AH S T | P AA K AH T | CH EY N JH | T UW | AH | L AA T | AH V | P IY P AH L |,It's just pocket change to a lot of people.,It's just packed with a lot of people.,0.3333333333,0.1052631579
AY | G EH S | AY | N EH V ER | HH OW D | DH AH | IH S T ER IY | AH V | DH AE T |,AY | G EH S | AY | N EH V ER | HH ER D | DH AH | HH IH S T ER IY | AH V | DH AE T |,I guess I never heard the history of that.,I guess I never heard the story of that.,0.1111111111,0.05882352941
DH AH | K AA R T | IH Z | G AE T | T UW | M EY K | IH T S | D IH S IH ZH AH N | P AH L B L IH K |,DH AH | K AO R T | IH Z | Y EH T | T UW | M EY K | IH T S | D IH S IH ZH AH N | P AH B L IH K |,The court is yet to make its decision public.,The court is getting to make its decision public.,0.1111111111,0.09756097561
W AH T | SH UH | AY | D UW |,W AH T | SH UH D | AY | D UW |,What should I do?,What should I do?,0,0.07692307692
IH T | W AA Z | AA N | DH AH | N UW Z | EH V ER IY | N AY T |,IH T | W AA Z | AA N | DH AH | N UW Z | EH V ER IY | N AY T |,It was on the news every night.,It was on the news every night.,0,0
IH F | OW N L IY | AY | G OW T | R IH M EH M B ER | DH AH | N EH M |,IH F | OW N L IY | AY | K UH D | R IH M EH M B ER | DH AH | N EY M |,If only I could remember the name.,If only I could remember the name.,0,0.1379310345
M AY | S EH T | D AH S T | AH N D AH AA K T AH T | AH | K AE T |,M AY | S AH N | JH AH S T | AH D AA P T IH D | AH | K AE T |,My son just adopted a cat.,My set dust and adopt a cat.,0.6666666667,0.3076923077
DH AH | F IH SH | W AA Z | K OW K T | W IH DH | S AH M | AA L AH F S |,DH AH | F IH SH | W AA Z | K UH K T | W IH DH | S AH M | AA L IH V Z |,The fish was cooked with some olives.,The fish was cooked with some herbs.,0.1428571429,0.1333333333
SH IY | W IH L | S IH T | AH K R AO S | DH AH | R UW M |,SH IY | W IH L | S IH T | AH K R AO S | DH AH | R UW M |,She will sit across the room.,She will sit across the room.,0,0
V AH T | M AH N TH | IH T | IH K S P EH K T AH IH D | F AY N | N ER S IH NG |,V OW T | M AH N TH | IH K S P EH K T AH D | F AE N | N ER S IH NG |,vote month expected fan nursing.,What month is it expected to finish nursing?,1,0.2068965517
AE Z | Y UW N | AE Z | AY | HH AE D | DH EH M |,AE Z | S UW N | AE Z | AY | HH AE D | DH EH M |,As soon as I had them.,As soon as I had them.,0,0.05
W AH T | K AY N D | AH V | TH IH NG Z | D UW | Y UW | TH IH NG K | K AE N | B IY | D AH N |,W AH T | K AY N D | AH V | TH IH NG Z | D UW | Y UW | TH IH NG K | K AE N | B IY | D AH N |,What kind of things do you think can be done.,What kind of things do you think can be done?,0,0
Y UW L | HH AE V | W AH N | AO R | T UW | DH AE T | AA R | G UH D |,Y UW L | HH AE V | W AH N | AO R | T UW | DH AE T | AA R | G UH D |,You'll have one or two that are good.,You'll have one or two that are good.,0,0
M EH N AH F AY T | V IH ZH AH N | EY B AH L | T UW | S IY | AE T | N AY T |,M AE G N AH F AY D | V IH ZH AH N | EY B AH L | T UW | S IY | AE T | N AY T |,"Magnified vision, able to see at night.",Night vision able to see at night.,0.1428571429,0.09090909091
D UW | Y UW | B IH L IY V | IH N | DH AH | D AE L AH S | K AW B OY Z |,D UW | Y UW | B IH L IY V | IH N | DH AH | D AE L AH S | K AW B OY Z |,Do you believe in the Dallas Cowboys?,Do you believe in the Dallas Cowboys?,0,0
F ER T | AH V | AO L | R IH M EH M ER D | T UW | B IY | D AA G Z |,F ER S T | AH V | AO L | R IH M EH M B ER | T UW | B IY | N AY S |,"First of all, remember to be nice.",First of all remember to be dogs.,0.1428571429,0.2413793103
AY | D OW N T | N OW | HH UW | L UH K S | F AO W ER D | T UW | IH T | M AO R |,AY | D OW N T | N OW | HH UW | L UH K S | F AO R W ER D | T UW | IH T | M AO R |,I don't know who looks forward to it more.,I don't know who looks forward to it more.,0,0.02857142857
K AE N | Y UW | SH OW M | M IY | DH AH | W EY |,K AE N | Y UW | SH OW | M IY | DH AH | W EY |,Can you show me the way?,Can you show me the way?,0,0.05263157895
V OW T | F AO R | Y AO R | T AY P | CH OY S |,V OW T | F AO R | Y AO R | T AA P | CH OY S |,Vote for your top choice.,Vote for your type choice.,0.2,0.05
IH T | IH Z | DH AH | P AA L AH S IY NG | IH N | DH IH S | K AH L T R IY |,IH T | IH Z | DH AH | P AA L AH S IY | IH N | DH IH S | K AH N T R IY |,It is the policy in this country.,It is the policy in this country.,0,0.06666666667
HH IY | HH AE D | AH | HH AW T | P AE D |,HH IY | HH AE D | AH | HH AA T | P AE D |,He had a hot pad.,He had a hot pad.,0,0.05882352941
DH AE T S | AH | P R IH V IY Y UW Z | D IH N ER EY SH AH N |,DH AE T S | AH | P R IY V IY AH S | JH EH N ER EY SH AH N |,That's a previous generation.,That's a pretty good decision.,0.75,0.25
AY | TH IH NG K | IH T | W AH D | W EY K | AW T | W EH L |,AY | TH IH NG K | IH T | W UH D | W ER K | AW T | W EH L |,I think it would work out well.,I think it would work out well.,0,0.08
K IY P K | IH N | K L IY N | P L IY Z |,K IY P | IH T | K L IY N | P L IY Z |,Keep it clean please.,Keep in line please.,0.5,0.1176470588
N AY T IY | S EH V AH N T | S IH T S | AH | W IY K |,N AY N T IY | S EH V AH N | S EH N T S | AH | W IY K |,Ninety seven cents a week.,Thirty seven cities a week.,0.4,0.1666666667
DH EY V | EH N JH OY D | DH AH | S K UW L |,DH EY V | EH N JH OY D | DH AH | S K UW L |,They've enjoyed the school.,They've enjoyed the school.,0,0
W EH R | W IH TH AW N | W AO K IH NG | D EH S T AH S |,W IY R | W IH DH IH N | W AO K IH NG | D IH S T AH N S |,We're within walking distance.,Where without walking distance?,0.5,0.2083333333
S EH V ER AH T IY | AO F AH L | Y IH R Z |,S EH V AH N T IY | AO F AH L | Y IH R Z |,Seventy awful years.,Several whole years.,0.6666666667,0.1111111111
DH IH D | D IH D | DH AE T | S AH M | P OY N T | F EH R |,DH AE T | D AH Z | N AA T | S IY M | K W AY T | F EH R |,That does not seem quite fair.,Did did that some point far?,1,0.4
IH T S | K AY N D | AH V | F AH N IY |,IH T S | K AY N D | AH V | F AH N IY |,It's kind of funny.,It's kind of funny.,0,0
JH AH S T | W EH R | AY | HH AE M |,DH AE T S | W EH R | AY | AE M |,That's where I am.,Just where I am.,0.25,0.3571428571
DH IH S | IH Z | IY Z IY | F AO R | M IY |,DH IH S | IH Z | IY Z IY | F AO R | M IY |,This is easy for me.,This is easy for me.,0,0
AY | W IH L | P R AA B AH B L IY | S EY | N OW | T UW | N IH K S |,AY | W IH L | P R AA B AH B L IY | S EY | N OW | T UW | DH IH S |,I will probably say no to this.,I will probably say no to kids.,0.1428571429,0.07142857143
DH AE T | IH Z | HH AO R AH B AH L |,DH AE T | IH Z | HH AO R AH B AH L |,That is horrible.,That is horrible.,0,0
N AW | AY | R IH M EH M B ER | IH T |,N AW | AY | R IH M EH M B ER | IH T |,Now I remember it.,Now I remember it.,0,0
W IY | D IH S AY T IH D | T UW | S T EY |,W IY | D IH S AY D IH D | T UW | S T EY |,We decided to stay.,We decided to stay.,0,0.05555555556
AO L M OW S T | L AY K | AH | D EH K L IH NG |,AO L M OW S T | L AY K | AH | T IH NG G AH L IH NG |,Almost like a tingling.,Almost like a declaration.,0.25,0.2272727273
DH AH | F IH T AH L Z | F AE L AH L IY S | AH N D | TH IH NG Z |,DH AH | V IH K T IH M Z | F AE M AH L IY Z | AH N D | TH IH NG Z |,The victims' families and things.,The families and things.,0.2,0.2142857143
IH T S | B IH D | S AY N D | AH V | S T EH R IY IH NG |,IH T S | B IH N | K AY N D | AH V | S K EH R IY |,It's been kind of scary.,It's kind of sounding stereotypical.,0.6,0.2272727273
N AA T | T UW | L AO NG | AH G OW |,N AA T | T UW | L AO NG | AH G OW |,Not too long ago.,Not too long ago.,0,0
S IY | AH Z | HH AA D | P IH L B IY | T R UW P | L AH V | DH IH S | DH IH R |,SH IY | HH AE Z | HH AE D | R IH L IY | G UH D | L AH K | DH IH S | Y IH R |,She has had really good luck this year.,She's had maybe three or four.,0.875,0.375
IH T S | AO L R EH D IY | D AH N | F AO R | Y UW |,IH T S | AO L R EH D IY | D AH N | F AO R | Y UW |,It's already done for you.,It's already done for you.,0,0
AY | T R AY | T UW | M EY K | SH UH R |,AY | T R AY | T UW | M EY K | SH UH R |,I try to make sure.,I try to make sure.,0,0
SH IY | HH AE N D AH L Z | IH T | P R IH T IY | W EH L |,SH IY | HH AE N D AH L Z | IH T | P R IH T IY | W EH L |,She handles it pretty well.,She handles it pretty well.,0,0
T UW | B IY | IH T S | AH | T R EH ZH ER |,T UW | M IY | IH T S | AH | T R EH ZH ER |,"To me, it's a treasure.",To be it's a treasure.,0.2,0.05555555556
DH EH R Z | D OW | D IH D IH G SH AH N Z |,DH EH R Z | N OW | D IH D AH K SH AH N Z |,There's no deductions.,There's no decisions.,0.3333333333,0.1666666667
AY | D OW N T | S IY | W AH T | DH AH | P R AA B L AH | IH Z |,AY | D OW N T | S IY | W AH T | DH AH | P R AA B L AH M | IH Z |,I don't see what the problem is.,I don't see what the problem is.,0,0.03571428571
IH T | G AA T | T UW | K AO L D | AH P | DH EH R |,IH T | G AA T | T UW | K OW L D | AH P | DH EH R |,It got too cold up there.,It got to call up there.,0.3333333333,0.04545454545
DH EH R Z | S OW | M AH CH | N AO R Z | IH N | DH AH | K AE P IH T AH L | S IH T IY |,DH EH R Z | S OW | M AH CH | N OY Z | IH N | DH AH | K AE P IH T AH L | S IH T IY |,There's so much noise in the capital city.,There's so much noise in the capital city.,0,0.05714285714
AH | L AA T | AH V | CH IH K AH N | AH N D | R AY S |,AH | L AA T | AH V | CH IH K AH N | AH N D | R AY S |,A lot of chicken and rice.,A lot of chicken and rice.,0,0
G EH T | DH AH | R EH S AH B IY | F R AH M | DH EH M |,G EH T | DH AH | R EH S AH P IY | F R AH M | DH EH M |,Get the recipe from them.,Get the resume from them.,0.2,0.04347826087
AY | K AE N T | TH IH NG K | AH V | IH Z | N EY M | N AW |,AY | K AE N T | TH IH NG K | AH V | HH IH Z | N EY M | N AW |,I can't think of his name now.,I can't think of his name now.,0,0.03846153846
DH IH S | K AA R | IH Z | S ER P ER | IH K S P EH N S AH V |,DH IH S | K AA R | IH Z | S UW P ER | IH K S P EH N S IH V |,This car is super expensive.,This car is very expensive.,0.2,0.07692307692
DH AH | M EH JH ER IY | B AE S T | DH AH | HH AW S | B AY | AH | K L AH N T L AY AH T | W IY T |,DH AH | M EH ZH ER | P AE S T | DH AH | HH AW S | B AY | AH | L AE N D S L AY D | V OW T |,The measure passed the House by a landslide vote.,The major beat the house by a couple of points.,0.5555555556,0.2894736842
D IH D | Y UW | S IY | EH N IY | AH V | DH OW Z |,D IH D | Y UW | S IY | EH N IY | AH V | DH OW Z |,Did you see any of those?,Did you see any of those?,0,0
M EY K | HH IH M | F IY L | L AY K | HH IY | W AA Z AH N T | W AO T IH D |,M EY K | HH IH M | F IY L | L AY K | HH IY | W AA Z AH N T | W AO N T IH D |,Make him feel like he wasn't wanted.,Make him feel like he wasn't wanted.,0,0.0303030303
SH IY | W AA Z | D IH L IH UW V M AH N T | DH AH | N AE K S T | D EY |,SH IY | W AA Z | D IH L IH V ER D | DH AH | N EH K S T | D EY |,She was delivered the next day.,She was delinquent the next day.,0.1666666667,0.2222222222
DH AH | JH UH R IY | IH N | AH | JH AH JH | W AO K | T AH G EH DH ER | AA N | IH T |,DH AH | JH UH R IY | AH N D | AH | JH AH JH | W ER K | T AH G EH DH ER | AA N | IH T |,The jury and a judge work together on it.,The jury in a jury will walk together on it.,0.4444444444,0.08571428571
DH AE T S | W AH T | D UH N D | TH IH NG K | AH B AW T | EH V IY | AH | K AE T | DH OW Z |,DH AE T S | W AH N | G UH D | TH IH NG | AH B AW T | HH AE V IH NG | AH | K AE T | DH OW |,That's one good thing about having a cat though.,That's what I don't think about every now and then.,0.8888888889,0.2432432432
P IY P ER | AA R | T R AE M P IH NG | AW T | AH V | S K UW L |,P IY P AH L | AA R | D R AA P IH NG | AW T | AH V | S K UW L |,People are dropping out of school.,People are trampling out of school.,0.1666666667,0.1851851852
DH AE T S | AH | G UH D | W EY | T UW | G EH T | S T AA R T IH D |,DH AE T S | AH | G UH D | W EY | T UW | G EH T | S T AA R T IH D |,That's a good way to get started.,That's a good way to get started.,0,0
W EH R | IH Z | DH AH | AH V ER D IH D Z | DH AE T | DH EY | P ER S EH S | K AA N S IH SH AH N S Z |,W EH R | IH Z | DH AH | EH V AH D AH N S | DH AE T | DH EY | P AH Z EH S | K AA N SH AH S N AH S |,Where is the evidence that they possess consciousness?,Where is the auditor that they process consents?,0.375,0.2926829268
F EH V AH L EH S | AY | R OW | M AY | HH AH S | AE Z | AY | G EH T | AH P |,N EH V ER DH AH L EH S | AY | R OW L | M AY | AY Z | AE Z | AY | G EH T | AH P |,Nevertheless I roll my eyes as I get up.,Whenever I go my house as I get up.,0.3333333333,0.2058823529
DH IH S | P R AA L AH S IY | IH Z | IH M P AO R T AH N T | F AO R | S OW SH AH L | IH N T AH R EH T IH D |,DH IH S | P AA L AH S IY | IH Z | IH M P AO R T AH N T | F AO R | S OW SH AH L | IH N T AH R EH S T |,This policy is important for social interest.,This policy is important for social interest.,0,0.09302325581
DH AH | OW L OW | AH DH ER | P L EY S Z | AY V | EH V ER | F EH F EH SH AH N |,DH AH | OW N L IY | AH DH ER | P L EY S | AY V | EH V ER | V EY K EY SH AH N D |,The only other place I've ever vacationed.,The other places I've ever been to.,0.5714285714,0.2424242424
DH EY | HH AE D | AH S | F IY L | AW T | AH | L AO NG | K R AH N T R AH N IY R |,DH EY | HH AE D | AH S | F IH L | AW T | AH | L AO NG | K W EH S CH AH N EH R |,They had us fill out a long questionnaire.,They had us feel out a long questionnaire.,0.125,0.2121212121
DH EY | HH AE V | AH | L AA T | AH V | K AE D AH L | IH N | DH AH | EH R IY AH |,DH EY | HH AE V | AH | L AA T | AH V | K AE T AH L | IH N | DH AH | EH R IY AH |,They have a lot of cattle in the area.,They have a lot of cattle in the area.,0,0.0303030303
IY IH NG | AE Z | Y UW | IH V | G AA T | S AH M | OW L D ER | CH IH L D R AH N |,S IY IH NG | AE Z | Y UW V | G AA T | S AH M | OW L D ER | CH IH L D R AH N |,Seeing as you've got some older children.,When you have some older children.,0.5714285714,0.09090909091
AY | D OW N T | N OW | IH F | DH EY | D UW | IH T | AO L | EH V ER |,AY | D OW N T | N OW | IH F | DH EY | D UW | IH T | AO L | OW V ER |,I don't know if they do it all over.,I don't know if they do it all ever.,0.1111111111,0.03448275862
DH AH | CH UW Z | AH V | L IH V AH Z | M EY K S | F AY N | P OY N T |,DH AH | JH UW S | AH V | L EH M AH N Z | M EY K S | F AY N | P AH N CH |,The juice of lemons makes fine punch.,The choice of lives makes a fine point.,0.5714285714,0.2258064516
AY | G EH S | DH AE T | IH Z | V EH R IY | G UH D |,AY | G EH S | DH AE T | IH Z | V EH R IY | G UH D |,I guess that is very good.,I guess that is very good.,0,0
M AY | T IY CH ER Z | AA R | V EH R IY | HH EH L P F AH L |,M AY | T IY CH ER Z | AA R | V EH R IY | HH EH L P F AH L |,My teachers are very helpful.,My teachers are very helpful.,0,0
SH IY | IH Z | M AO R | F AE M AH N S | S IH N S | SH IY | D EH D | DH AE T |,SH IY | IH Z | M AO R | F EY M AH S | S IH N S | SH IY | D IH D | DH AE T |,She is more famous since she did that.,She is more famous since she did that.,0,0.09375
W IY | K UH D | S P AE N D | DH AE T | M AH N IY | V EH R IY | K W IY K L IY |,W IY | K UH D | S P EH N D | DH AE T | M AH N IY | V EH R IY | K W IH K L IY |,We could spend that money very quickly.,We could spend that money very quickly.,0,0.05882352941
AE T | DH AH | T AY M | Y UW | HH AY ER D | AA N | W IH DH | DH IH S | K AH M P AH N IY |,AE T | DH AH | T AY M | Y UW | HH AY ER D | AA N | W IH DH | DH IH S | K AH M P AH N IY |,At the time you hired on with this company.,At the time you hired on with this company.,0,0
W EH N | S T EY T | Y UW ZH AH V ER SH AH T IY | IH Z | IH N | D IH T R OY T | M IH SH AH N |,W EY N | S T EY T | Y UW N AH V ER S AH T IY | IH Z | IH N | D IH T R OY T | M IH SH IH G AH N |,"Wayne State University is in Detroit, Michigan.","When state university is in Detroit, Michigan.",0.1428571429,0.1219512195
AH N D | S OW | Y UW | N AW | AH N D | IH T S | HH IH Z | CH OY S | T UW | M EY K |,AH N D | S OW | Y UW | N OW | AH N D | IH T S | HH IH Z | CH OY S | T UW | M EY K |,"And so, you know, and it's his choice to make.","And so you know, and it's his choice to make.",0,0.02777777778
K AE ZH AH T IY | K AA N Y IH N AH JH AH M | AA R G IY | W AA S T | R IH S AE P T IH K AH L | K R OW L |,K AE ZH AH W AH L T IY | K AA M Y AH N IH Z AH M | AA R G Y UW | F R AO S T | R AH S EH P T AH K AH L | S K R OW L |,casualty communism argue frost receptacle scroll,"Catastrophe can continue for a long time, but it's all over in a flash.",2.333333333,0.32
S ER T AH N | P IY P AH L | EH N JH OY | DH IH S | K AY N D | AH V | M Y UW Z IH K |,S ER T AH N | P IY P AH L | EH N JH OY | DH IH S | K AY N D | AH V | M Y UW Z IH K |,Certain people enjoy this kind of music.,Certain people enjoy this kind of music.,0,0
AY | AE M | P R IH T IY | AH W EH R | AH V | W AH T | G OW Z | AA N | HH IY R |,AY | AE M | P R IH T IY | AH W EH R | AH V | W AH T | G OW Z | AA N | HH IY R |,I am pretty aware of what goes on here.,I am pretty aware of what goes on here.,0,0
SH IY | Y UW Z D | T UW | L AH V | T UW | D UW | S T AH F | L AY K | DH AE T |,SH IY | Y UW Z D | T UW | L AH V | T UW | D UW | S T AH F | L AY K | DH AE T |,She used to love to do stuff like that.,She used to love to do stuff like that.,0,0
DH AH | SH OW | W AA Z | AH | L IH F T | F R AH M | DH AH | V EH R IY | S T AA R T |,DH AH | SH OW | W AA Z | AH | F L AA P | F R AH M | DH AH | V EH R IY | S T AA R T |,The show was a flop from the very start.,The show was a lift from the very start.,0.1111111111,0.1111111111
AY | W UH D AH N T | S EY | IH T S | AE Z | B AE D | AE Z | N UW | Y UW |,AY | W UH D AH N T | S EY | IH T S | AE Z | B AE D | AE Z | N UW | Y AO R K |,I wouldn't say it's as bad as New York.,I wouldn't say it's as bad as New York.,0,0.08823529412
DH AH | B EY B IY | W IH L | T IH NG | IH T S | IH S | IH N | DH AH | F UW D |,DH AH | B EY B IY | W IH L | S T IH K | IH T S | HH EH D | IH N | DH AH | F UW D |,The baby will stick its head in the food.,The baby will drink its is in the food.,0.2222222222,0.1428571429
HH AE V IH NG | AH | JH AA B | W IH L | K IY P | Y UW | AW T | AH V | P R AH B AH L |,HH AE V IH NG | AH | JH AA B | W IH L | K IY P | Y UW | AW T | AH V | T R AH B AH L |,Having a job will keep you out of trouble.,Having a job will keep you out of trouble.,0,0.02777777778
M AH T | IH T | D IH D AH N T | EH K | DH AH | HH AH P ER | B AA T | AH V | M AY | M AE T IY |,B AH T | IH T | D IH D AH N T | G EH T | DH AH | AH P ER | P AA R T | AH V | M AY | B AA D IY |,But it didn't get the upper part of my body.,But it didn't stick the hook in the bottom of my foot.,0.6,0.2195121951
B AH T | T R EH S T IH K | T AY M Z | K UH D | K AO L | F AO R | N EH S T IH K | M IH ZH ER Z |,B AH T | D R AE S T IH K | T AY M Z | K UH D | K AO L | F AO R | D R AE S T IH K | M EH ZH ER Z |,But drastic times could call for drastic measures.,"But trust me, times could call for stricter measures.",0.375,0.1395348837
